,label,site,site.code,sub.site,sub.site.code,transect,trans,site.label,date,season,protection,enforcement,total.mpa.ha,size.notake,yr.creation,age.reserve.yr,rug,lat,lon,d.range.code,depth.range,depth,t.length,t.width,t.area,family ,order,sp.code,sp.rich,sp.length,species,sp.n,data.origin
3101,ADR2BF,ADRASAN,ADR,2,2ADR,B,997,ADR2BF,,Summer,NO,,,,,,1.29,36.256,30.462,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,4,,Coris.julis,8,Sala - PEW
3103,ADR2BF,ADRASAN,ADR,2,2ADR,B,997,ADR2BF,,Summer,NO,,,,,,1.29,36.256,30.462,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,4,,Thalassoma.pavo,13,Sala - PEW
3102,ADR2BF,ADRASAN,ADR,2,2ADR,B,997,ADR2BF,,Summer,NO,,,,,,1.29,36.256,30.462,3,08-‹š”,10,25,5,125,Scaridae,Perciformes,SPAR,4,,Sparisoma.cretense,6,Sala - PEW
3104,ADR2CF,ADRASAN,ADR,2,2ADR,C,998,ADR2CF,,Summer,NO,,,,,,1.25,36.256,30.462,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CHROM,5,,Chromis.chromis,60,Sala - PEW
3105,ADR2CF,ADRASAN,ADR,2,2ADR,C,998,ADR2CF,,Summer,NO,,,,,,1.25,36.256,30.462,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,5,,Coris.julis,4,Sala - PEW
3108,ADR2CF,ADRASAN,ADR,2,2ADR,C,998,ADR2CF,,Summer,NO,,,,,,1.25,36.256,30.462,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,5,,Thalassoma.pavo,19,Sala - PEW
3106,ADR2CF,ADRASAN,ADR,2,2ADR,C,998,ADR2CF,,Summer,NO,,,,,,1.25,36.256,30.462,3,08-‹š”,10,25,5,125,Siganidae,Perciformes,SIGL,5,,Siganus.luridus,15,Sala - PEW
3107,ADR2CF,ADRASAN,ADR,2,2ADR,C,998,ADR2CF,,Summer,NO,,,,,,1.25,36.256,30.462,3,08-‹š”,10,25,5,125,Scaridae,Perciformes,SPAR,5,,Sparisoma.cretense,6,Sala - PEW
3109,ADR3AF,ADRASAN,ADR,3,3ADR,A,999,ADR3AF,,Summer,NO,,,,,,1.15,36.272,30.479,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CHROM,5,,Chromis.chromis,3,Sala - PEW
3110,ADR3AF,ADRASAN,ADR,3,3ADR,A,999,ADR3AF,,Summer,NO,,,,,,1.15,36.272,30.479,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,5,,Coris.julis,1,Sala - PEW
3112,ADR3AF,ADRASAN,ADR,3,3ADR,A,999,ADR3AF,,Summer,NO,,,,,,1.15,36.272,30.479,3,08-‹š”,10,25,5,125,Labridae,Perciformes,DIPV,5,,Diplodus.vulgaris,2,Sala - PEW
3113,ADR3AF,ADRASAN,ADR,3,3ADR,A,999,ADR3AF,,Summer,NO,,,,,,1.15,36.272,30.479,3,08-‹š”,10,25,5,125,Epinephelinae,Perciformes,MYCT,5,,Mycteroperca.rubra,1,Sala - PEW
